city,timestamp,temperature,humidity,pressure,wind_speed,weather_desc,aqi,pm25,pm10,no2,o3
Marrakech,2026-04-30 18:12:03.368949,24.98,50.0,1014.0,2.06,broken clouds,2.0,3.83,9.39,0.57,96.89
Rabat,2026-04-30 18:12:03.368949,20.36,64.0,1017.0,3.6,scattered clouds,2.0,3.73,6.69,2.12,92.94
Agadir,2026-04-30 19:12:13.649309,22.06,70.0,1015.0,6.24,scattered clouds,2.0,1.2,3.38,0.17,95.42
Tanger,2026-04-30 19:12:13.649309,18.74,68.0,1016.0,3.09,clear sky,3.0,2.36,5.91,0.82,110.56
Marrakech,2026-04-30 19:12:13.649309,22.98,53.0,1014.0,1.03,scattered clouds,2.0,4.36,10.33,0.84,92.85
Rabat,2026-04-30 19:12:13.649309,19.37,68.0,1017.0,3.09,scattered clouds,2.0,3.26,6.03,2.49,92.65
Agadir,2026-04-30 20:12:23.159074,20.06,71.0,1016.0,3.74,clear sky,2.0,1.2,3.44,0.2,95.72
Tanger,2026-04-30 20:12:23.159074,17.74,72.0,1017.0,3.09,clear sky,3.0,2.35,5.94,1.32,106.19
Marrakech,2026-04-30 20:12:23.159074,22.98,53.0,1015.0,2.57,scattered clouds,2.0,4.49,10.53,1.23,86.73
Rabat,2026-04-30 20:12:23.159074,17.37,77.0,1018.0,2.57,scattered clouds,2.0,2.85,5.47,2.97,90.64
Agadir,2026-04-30 21:12:32.755292,18.06,78.0,1017.0,2.9,scattered clouds,2.0,1.22,3.58,0.2,96.06
Tanger,2026-04-30 21:12:32.755292,16.74,77.0,1018.0,2.06,clear sky,3.0,2.38,6.04,1.73,101.6
Marrakech,2026-04-30 21:12:32.755292,22.98,53.0,1017.0,2.06,scattered clouds,2.0,4.48,10.65,1.53,82.56
Rabat,2026-04-30 21:12:32.755292,17.37,77.0,1019.0,2.57,scattered clouds,2.0,2.7,5.34,3.31,88.6
Agadir,2026-04-30 22:12:48.110970,17.06,80.0,1018.0,1.16,broken clouds,2.0,1.23,3.71,0.19,96.86
Tanger,2026-04-30 22:12:48.110970,15.74,82.0,1019.0,1.54,few clouds,2.0,2.41,6.14,1.94,99.27
Marrakech,2026-04-30 22:12:48.110970,21.02,60.0,1018.0,3.6,scattered clouds,2.0,4.41,10.7,1.68,80.12
Rabat,2026-04-30 22:12:48.110970,15.37,88.0,1019.0,0.0,scattered clouds,2.0,2.69,5.44,3.38,87.14
Agadir,2026-04-30 23:12:57.581484,17.06,82.0,1018.0,1.17,broken clouds,2.0,1.25,3.94,0.18,96.93
Tanger,2026-04-30 23:12:57.581484,15.74,82.0,1019.0,1.54,few clouds,2.0,2.45,6.24,2.14,97.55
Marrakech,2026-04-30 23:12:57.581484,18.98,63.0,1018.0,2.57,scattered clouds,2.0,4.31,10.67,1.75,77.75
Rabat,2026-04-30 23:12:57.581484,12.37,94.0,1020.0,0.0,scattered clouds,2.0,2.77,5.65,3.5,83.6
Agadir,2026-05-01 00:17:03.281703,17.06,84.0,1018.0,2.59,broken clouds,2.0,1.29,4.21,0.17,97.2
Tanger,2026-05-01 00:17:03.281703,13.74,82.0,1019.0,1.03,clear sky,2.0,2.47,6.3,2.18,95.73
Marrakech,2026-05-01 00:17:03.281703,16.98,72.0,1018.0,2.06,scattered clouds,2.0,4.32,10.77,1.77,76.71
Rabat,2026-05-01 00:17:03.281703,11.37,100.0,1019.0,0.0,scattered clouds,2.0,2.96,6.03,3.67,79.88
Agadir,2026-05-01 01:17:13.598305,17.06,84.0,1018.0,3.54,broken clouds,2.0,1.31,4.4,0.16,97.23
Tanger,2026-05-01 01:17:13.598305,13.74,88.0,1019.0,1.03,scattered clouds,2.0,2.47,6.29,1.99,93.9
Marrakech,2026-05-01 01:17:13.598305,15.98,77.0,1018.0,3.6,scattered clouds,2.0,4.38,10.86,1.67,76.42
Rabat,2026-05-01 01:17:13.598305,10.37,100.0,1019.0,0.0,scattered clouds,2.0,3.19,6.49,3.55,77.28
Agadir,2026-05-01 02:17:24.183428,17.06,84.0,1018.0,4.19,overcast clouds,2.0,1.35,4.55,0.16,97.0
Tanger,2026-05-01 02:17:24.183428,12.74,88.0,1019.0,0.51,overcast clouds,2.0,2.44,6.21,1.76,91.5
Marrakech,2026-05-01 02:17:24.183428,15.98,77.0,1018.0,3.6,scattered clouds,2.0,4.51,10.87,1.54,75.78
Rabat,2026-05-01 02:17:24.183428,10.37,100.0,1019.0,0.0,scattered clouds,2.0,3.42,6.93,3.27,74.71
Agadir,2026-05-01 03:17:33.937870,16.06,85.0,1017.0,3.78,overcast clouds,2.0,1.44,4.84,0.16,96.03
Tanger,2026-05-01 03:17:33.937870,12.74,88.0,1019.0,0.51,overcast clouds,2.0,2.41,6.13,1.56,88.67
Marrakech,2026-05-01 03:17:33.937870,13.97,82.0,1018.0,2.06,scattered clouds,2.0,4.67,10.9,1.42,74.43
Rabat,2026-05-01 03:17:33.937870,10.37,93.0,1019.0,0.0,scattered clouds,2.0,3.65,7.35,3.02,72.03
Agadir,2026-05-01 04:17:44.089299,16.06,85.0,1017.0,3.0,overcast clouds,2.0,1.6,5.38,0.17,94.59
Tanger,2026-05-01 04:17:44.089299,12.74,88.0,1019.0,1.03,broken clouds,2.0,2.4,6.06,1.4,85.92
Marrakech,2026-05-01 04:17:44.089299,13.98,82.0,1018.0,2.57,scattered clouds,2.0,4.82,11.03,1.3,73.38
Rabat,2026-05-01 04:17:44.089299,10.37,93.0,1019.0,0.0,scattered clouds,2.0,3.87,7.68,2.84,69.5
Agadir,2026-05-01 05:17:53.838923,16.06,85.0,1017.0,2.02,overcast clouds,2.0,1.63,5.41,0.18,93.16
Tanger,2026-05-01 05:17:53.838923,12.74,88.0,1019.0,2.06,broken clouds,2.0,2.37,5.98,1.28,83.35
Marrakech,2026-05-01 05:17:53.838923,13.98,82.0,1017.0,3.09,scattered clouds,2.0,4.92,11.06,1.35,70.64
Rabat,2026-05-01 05:17:53.838923,9.37,93.0,1019.0,0.0,scattered clouds,2.0,4.08,7.94,2.78,67.67
Agadir,2026-05-01 06:18:03.942241,15.06,84.0,1017.0,0.16,overcast clouds,2.0,1.53,5.04,0.2,91.5
Tanger,2026-05-01 06:18:03.942241,11.74,94.0,1018.0,2.57,broken clouds,2.0,2.38,5.97,1.34,81.04
Marrakech,2026-05-01 06:18:03.942241,11.98,87.0,1017.0,2.06,scattered clouds,2.0,5.07,11.16,1.62,68.3
Rabat,2026-05-01 06:18:03.942241,8.37,100.0,1019.0,0.0,scattered clouds,2.0,4.31,8.24,2.89,67.02
Agadir,2026-05-01 07:18:13.653008,14.06,86.0,1017.0,0.77,overcast clouds,2.0,1.62,5.4,0.25,89.84
Tanger,2026-05-01 07:18:13.653008,11.74,100.0,1019.0,2.57,broken clouds,2.0,2.48,6.11,1.96,78.65
Marrakech,2026-05-01 07:18:13.653008,12.98,88.0,1017.0,1.03,clear sky,2.0,5.23,11.37,2.46,67.01
Rabat,2026-05-01 07:18:13.653008,9.37,100.0,1019.0,0.0,scattered clouds,2.0,4.61,8.65,3.49,67.09
Agadir,2026-05-01 08:18:23.437422,16.06,84.0,1017.0,0.37,overcast clouds,2.0,1.84,6.55,0.35,88.2
Tanger,2026-05-01 08:18:23.437422,13.74,94.0,1019.0,2.57,clear sky,2.0,2.66,6.37,2.93,77.74
Marrakech,2026-05-01 08:18:23.437422,14.97,88.0,1017.0,1.54,clear sky,2.0,5.23,11.39,4.07,64.66
Rabat,2026-05-01 08:18:23.437422,11.37,100.0,1019.0,0.0,scattered clouds,2.0,4.9,9.11,4.52,66.96
Agadir,2026-05-01 09:18:33.574171,18.06,81.0,1018.0,1.07,overcast clouds,2.0,2.09,8.0,0.42,87.03
Tanger,2026-05-01 09:18:33.574171,15.74,88.0,1019.0,1.54,clear sky,2.0,2.78,6.59,2.99,78.24
Marrakech,2026-05-01 09:18:33.574171,16.98,77.0,1018.0,1.54,scattered clouds,2.0,5.14,11.42,4.91,61.41
Rabat,2026-05-01 09:18:33.574171,17.37,94.0,1019.0,2.06,few clouds,2.0,5.24,9.65,4.71,66.97
Agadir,2026-05-01 10:16:50.800416,20.06,78.0,1018.0,1.77,overcast clouds,2.0,2.34,9.39,0.41,86.57
Tanger,2026-05-01 10:16:50.800416,18.74,72.0,1020.0,3.09,broken clouds,2.0,2.81,6.71,2.33,83.56
Marrakech,2026-05-01 10:16:50.800416,18.98,72.0,1018.0,2.06,scattered clouds,2.0,5.1,11.64,4.42,60.27
Rabat,2026-05-01 10:16:50.800416,19.35,68.0,1019.0,2.06,few clouds,2.0,5.74,10.38,4.29,69.49
Agadir,2026-05-01 11:16:23.806704,22.06,75.0,1019.0,2.78,overcast clouds,2.0,2.71,11.15,0.38,86.08
Tanger,2026-05-01 11:16:23.806704,18.74,68.0,1020.0,2.57,broken clouds,2.0,2.38,5.91,0.87,98.72
Marrakech,2026-05-01 11:16:23.806704,20.98,68.0,1018.0,1.03,scattered clouds,2.0,4.72,11.9,1.23,81.87
Rabat,2026-05-01 11:16:23.806704,21.37,60.0,1019.0,2.06,few clouds,2.0,6.33,10.95,2.75,87.66
Agadir,2026-05-01 12:16:33.665801,23.06,74.0,1018.0,3.4,overcast clouds,2.0,3.32,13.77,0.34,85.33
Tanger,2026-05-01 12:16:33.665801,19.74,64.0,1020.0,2.57,broken clouds,3.0,2.33,5.65,0.57,101.93
Marrakech,2026-05-01 12:16:33.665801,22.98,56.0,1017.0,2.06,scattered clouds,2.0,4.82,11.84,0.65,87.19
Rabat,2026-05-01 12:16:33.665801,20.35,64.0,1019.0,4.12,clear sky,2.0,7.82,12.35,1.8,97.15
Agadir,2026-05-01 13:16:45.674367,25.06,74.0,1018.0,4.05,overcast clouds,2.0,3.9,15.62,0.29,85.05
Tanger,2026-05-01 13:16:45.674367,19.74,64.0,1019.0,3.09,broken clouds,3.0,2.33,5.51,0.43,103.72
Marrakech,2026-05-01 13:16:45.674367,24.0,57.0,1017.0,1.54,scattered clouds,2.0,5.21,12.42,0.48,90.24
Rabat,2026-05-01 13:16:45.674367,21.37,64.0,1019.0,4.63,clear sky,3.0,9.26,13.75,1.21,104.18
Agadir,2026-05-01 14:16:54.919113,25.06,74.0,1017.0,4.96,broken clouds,2.0,5.1,14.78,0.24,84.68
Tanger,2026-05-01 14:16:54.919113,19.74,68.0,1019.0,3.6,broken clouds,3.0,2.36,5.56,0.41,105.3
Marrakech,2026-05-01 14:16:54.919113,25.98,50.0,1016.0,2.57,scattered clouds,3.0,4.2,10.18,0.34,100.71
Rabat,2026-05-01 14:16:54.919113,21.37,64.0,1019.0,5.66,broken clouds,3.0,8.72,12.87,0.77,111.55
Agadir,2026-05-01 15:17:04.658261,26.06,73.0,1017.0,4.49,scattered clouds,2.0,5.62,15.11,0.24,86.02
Tanger,2026-05-01 15:17:04.658261,20.74,60.0,1018.0,3.6,broken clouds,3.0,2.35,5.5,0.41,105.64
Marrakech,2026-05-01 15:17:04.658261,26.98,50.0,1015.0,1.54,scattered clouds,3.0,4.3,10.6,0.32,102.85
Rabat,2026-05-01 15:17:04.658261,21.37,60.0,1018.0,5.66,overcast clouds,3.0,7.84,11.58,0.72,111.48
Agadir,2026-05-01 16:17:12.888992,25.06,68.0,1016.0,5.17,scattered clouds,2.0,6.32,15.85,0.25,88.3
Tanger,2026-05-01 16:17:12.888992,20.74,56.0,1018.0,5.14,broken clouds,3.0,2.33,5.59,0.44,105.68
Marrakech,2026-05-01 16:17:12.888992,28.98,39.0,1014.0,1.54,scattered clouds,3.0,5.07,12.84,0.35,103.35
Rabat,2026-05-01 16:17:12.888992,20.37,64.0,1018.0,5.66,overcast clouds,3.0,7.25,10.87,0.83,111.7
Agadir,2026-05-01 17:17:22.656243,24.06,65.0,1015.0,5.92,scattered clouds,2.0,7.19,16.86,0.28,91.56
Tanger,2026-05-01 17:17:22.656243,19.74,64.0,1018.0,5.66,broken clouds,3.0,2.4,5.95,0.52,105.9
Marrakech,2026-05-01 17:17:22.656243,28.98,39.0,1014.0,2.06,scattered clouds,3.0,6.84,17.51,0.53,104.35
Rabat,2026-05-01 17:17:22.656243,20.37,68.0,1018.0,5.14,overcast clouds,3.0,6.67,10.26,1.1,112.21
Agadir,2026-05-01 18:17:07.756242,23.06,62.0,1015.0,5.18,scattered clouds,2.0,7.69,17.1,0.32,94.4
Tanger,2026-05-01 18:17:07.756242,20.74,64.0,1018.0,3.6,broken clouds,3.0,2.59,6.49,0.69,106.23
Marrakech,2026-05-01 18:17:07.756242,28.98,37.0,1014.0,2.06,scattered clouds,3.0,9.09,23.29,0.81,104.59
Rabat,2026-05-01 18:17:07.756242,20.37,64.0,1017.0,4.63,overcast clouds,3.0,6.04,9.68,1.59,111.53
Agadir,2026-05-01 19:17:17.604511,22.06,64.0,1015.0,4.16,few clouds,2.0,7.65,16.51,0.35,97.0
Tanger,2026-05-01 19:17:17.604511,19.74,68.0,1018.0,2.57,clear sky,3.0,2.82,7.04,0.92,106.87
Marrakech,2026-05-01 19:17:17.604511,28.98,37.0,1014.0,3.09,scattered clouds,3.0,10.61,27.35,1.09,103.23
Rabat,2026-05-01 19:17:17.604511,19.37,72.0,1018.0,3.6,overcast clouds,3.0,5.08,8.65,2.14,107.52
Agadir,2026-05-01 20:17:27.414132,20.06,70.0,1015.0,2.75,clear sky,2.0,7.04,15.1,0.35,98.93
Tanger,2026-05-01 20:17:27.414132,18.74,72.0,1018.0,1.54,clear sky,3.0,3.07,7.59,1.26,106.78
Marrakech,2026-05-01 20:17:27.414132,24.98,47.0,1014.0,5.14,scattered clouds,2.0,11.46,29.56,1.51,98.65
Rabat,2026-05-01 20:17:27.414132,17.37,82.0,1018.0,3.6,overcast clouds,2.0,4.21,7.65,3.01,99.89
Agadir,2026-05-01 21:23:51.324408,18.06,75.0,1017.0,1.28,clear sky,2.0,6.06,13.26,0.34,99.71
Tanger,2026-05-01 21:23:51.324408,18.77,72.0,1018.0,2.06,clear sky,3.0,3.28,8.02,1.44,105.89
Marrakech,2026-05-01 21:23:51.324408,21.97,56.0,1016.0,4.12,scattered clouds,2.0,12.19,31.14,1.82,95.32
Rabat,2026-05-01 21:23:51.324408,17.37,88.0,1019.0,2.57,overcast clouds,2.0,3.7,7.11,3.62,93.82
