timestamp,city,lat,lon,temperature,humidity,pressure,wind_speed,weather_description,aqi,no2,o3,pm2_5,pm10,source_file,year,month,day,hour,split
2026-04-26 12:59:30.000000,Casablanca,33.5731,-7.5898,21.01,73.0,1011.0,1.54,broken clouds,3.0,0.61,103.01,9.22,19.79,raw_collecte_principale.csv,2026,4,26,12,train
2026-04-26 12:59:31.000000,Rabat,34.0209,-6.8416,22.37,78.0,1011.0,3.09,scattered clouds,3.0,1.08,104.71,13.7,20.61,raw_collecte_principale.csv,2026,4,26,12,train
2026-04-26 12:59:33.000000,Marrakech,31.6295,-7.9811,24.98,53.0,1009.0,2.06,scattered clouds,2.0,0.36,93.11,9.27,42.58,raw_collecte_principale.csv,2026,4,26,12,train
2026-04-26 12:59:35.000000,Fes,34.0331,-5.0003,24.08,56.0,1011.0,4.63,clear sky,2.0,0.17,76.47,4.25,16.94,raw_collecte_principale.csv,2026,4,26,12,train
2026-04-26 13:59:36.000000,Casablanca,33.5731,-7.5898,21.01,68.0,1011.0,3.09,scattered clouds,3.0,0.48,107.04,8.63,17.1,raw_collecte_principale.csv,2026,4,26,13,train
2026-04-26 13:59:38.000000,Rabat,34.0209,-6.8416,21.37,78.0,1010.0,3.6,scattered clouds,3.0,0.71,108.01,12.38,18.49,raw_collecte_principale.csv,2026,4,26,13,train
2026-04-26 13:59:39.000000,Marrakech,31.6295,-7.9811,25.98,47.0,1009.0,3.6,scattered clouds,3.0,0.23,96.53,11.22,54.65,raw_collecte_principale.csv,2026,4,26,13,train
2026-04-26 13:59:41.000000,Fes,34.0331,-5.0003,25.08,50.0,1010.0,4.63,few clouds,2.0,0.15,81.36,4.55,18.73,raw_collecte_principale.csv,2026,4,26,13,train
2026-04-26 15:09:52.000000,Casablanca,33.5731,-7.5898,21.66,68.0,1011.0,2.68,scattered clouds,3.0,0.45,107.34,7.15,13.06,raw_collecte_principale.csv,2026,4,26,15,train
2026-04-26 15:09:54.000000,Rabat,34.0209,-6.8416,22.37,68.0,1010.0,3.6,scattered clouds,3.0,0.63,105.73,10.14,14.87,raw_collecte_principale.csv,2026,4,26,15,train
2026-04-26 15:09:56.000000,Marrakech,31.6295,-7.9811,27.98,42.0,1008.0,2.06,scattered clouds,3.0,0.19,98.82,10.89,54.08,raw_collecte_principale.csv,2026,4,26,15,train
2026-04-26 15:09:57.000000,Fes,34.0331,-5.0003,26.08,47.0,1009.0,4.12,few clouds,2.0,0.2,82.14,4.42,18.07,raw_collecte_principale.csv,2026,4,26,15,train
2026-04-26 16:10:02.000000,Casablanca,33.5731,-7.5898,21.66,64.0,1010.0,3.58,scattered clouds,3.0,0.49,108.88,7.77,13.59,raw_collecte_principale.csv,2026,4,26,16,train
