Round,MAE,RMSE,R2
0,3.400547619047619,3.878296232453971,-3.32533867603387
1,2.461166678160671,2.734269903308033,-1.1499131998134215
2,1.78770125873779,2.026370715755762,-0.1807989630540172
3,1.365697317655585,1.6016075708870547,0.2623499298301517
4,1.1465015083060142,1.362374490358758,0.4662582586788646
5,1.0271894838070157,1.237154702646248,0.5598647192440924
6,0.9525895046737256,1.1752728307649036,0.6027942242308808
7,0.9035092825841432,1.1451809325046738,0.6228740835568907
8,0.8720739488115414,1.1296643631503964,0.633024543834006
9,0.8504557359806925,1.1202429273131322,0.639120191826219
10,0.8347984047680768,1.1130831215212087,0.6437184307741918
11,0.8223802892967862,1.106622175320961,0.6478425347401413
12,0.812302624528927,1.1003348168759897,0.6518327860815629
13,0.8038864946688984,1.0941318542315392,0.6557471961243161
14,0.7968740812880691,1.0880807062722018,0.659544479301728
15,0.791028279366409,1.0822832576869674,0.663162804841329
