DateHeure,Ville,Latitude,Longitude,Temperature,Humidite,Pression,VitesseVent,MeteoDescription,AQI,NO2,O3,PM10,PM2_5,JeuDonnees
2026-04-26 12:59:30.000000,Casablanca,33.5731,-7.5898,21.01,73.0,1011.0,1.54,broken clouds,3.0,0.61,103.01,19.79,9.22,Entrainement
2026-04-26 12:59:31.000000,Rabat,34.0209,-6.8416,22.37,78.0,1011.0,3.09,scattered clouds,3.0,1.08,104.71,20.61,13.7,Entrainement
2026-04-26 12:59:33.000000,Marrakech,31.6295,-7.9811,24.98,53.0,1009.0,2.06,scattered clouds,2.0,0.36,93.11,42.58,9.27,Entrainement
2026-04-26 12:59:35.000000,Fes,34.0331,-5.0003,24.08,56.0,1011.0,4.63,clear sky,2.0,0.17,76.47,16.94,4.25,Entrainement
2026-04-26 13:59:36.000000,Casablanca,33.5731,-7.5898,21.01,68.0,1011.0,3.09,scattered clouds,3.0,0.48,107.04,17.1,8.63,Entrainement
2026-04-26 13:59:38.000000,Rabat,34.0209,-6.8416,21.37,78.0,1010.0,3.6,scattered clouds,3.0,0.71,108.01,18.49,12.38,Entrainement
2026-04-26 13:59:39.000000,Marrakech,31.6295,-7.9811,25.98,47.0,1009.0,3.6,scattered clouds,3.0,0.23,96.53,54.65,11.22,Entrainement
2026-04-26 13:59:41.000000,Fes,34.0331,-5.0003,25.08,50.0,1010.0,4.63,few clouds,2.0,0.15,81.36,18.73,4.55,Entrainement
2026-04-26 15:09:52.000000,Casablanca,33.5731,-7.5898,21.66,68.0,1011.0,2.68,scattered clouds,3.0,0.45,107.34,13.06,7.15,Entrainement
2026-04-26 15:09:54.000000,Rabat,34.0209,-6.8416,22.37,68.0,1010.0,3.6,scattered clouds,3.0,0.63,105.73,14.87,10.14,Entrainement
2026-04-26 15:09:56.000000,Marrakech,31.6295,-7.9811,27.98,42.0,1008.0,2.06,scattered clouds,3.0,0.19,98.82,54.08,10.89,Entrainement
2026-04-26 15:09:57.000000,Fes,34.0331,-5.0003,26.08,47.0,1009.0,4.12,few clouds,2.0,0.2,82.14,18.07,4.42,Entrainement
2026-04-26 16:10:02.000000,Casablanca,33.5731,-7.5898,21.66,64.0,1010.0,3.58,scattered clouds,3.0,0.49,108.88,13.59,7.77,Entrainement
2026-04-26 16:10:04.000000,Rabat,34.0209,-6.8416,23.37,64.0,1010.0,3.6,scattered clouds,3.0,0.67,105.31,14.68,9.94,Entrainement
2026-04-26 16:10:06.000000,Marrakech,31.6295,-7.9811,28.98,39.0,1007.0,2.57,scattered clouds,3.0,0.21,99.58,54.42,11.02,Entrainement
2026-04-26 16:10:08.000000,Fes,34.0331,-5.0003,26.08,47.0,1009.0,4.63,few clouds,2.0,0.26,81.87,17.06,4.24,Entrainement
2026-04-26 17:10:13.000000,Casablanca,33.5731,-7.5898,21.01,73.0,1010.0,3.6,scattered clouds,3.0,0.67,109.62,14.42,8.21,Entrainement
2026-04-26 17:10:15.000000,Rabat,34.0209,-6.8416,23.37,60.0,1010.0,4.12,scattered clouds,3.0,0.95,106.15,14.82,9.82,Entrainement
2026-04-26 17:10:17.000000,Marrakech,31.6295,-7.9811,30.98,37.0,1007.0,3.09,scattered clouds,3.0,0.31,99.8,55.3,11.52,Entrainement
2026-04-26 17:10:21.000000,Fes,34.0331,-5.0003,27.08,44.0,1009.0,3.6,few clouds,2.0,0.5,76.52,15.04,4.07,Entrainement
2026-04-26 18:11:35.000000,Fes,34.0331,-5.0003,26.08,47.0,1009.0,4.12,few clouds,2.0,0.87,69.67,13.06,3.9,Entrainement
2026-04-27 10:42:57.000000,Casablanca,33.5731,-7.5898,21.01,83.0,1009.0,2.06,mist,2.0,1.6,85.79,29.71,12.28,Entrainement
2026-04-27 10:43:04.000000,Rabat,34.0209,-6.8416,20.37,100.0,1009.0,1.54,scattered clouds,2.0,2.83,83.81,24.61,10.42,Entrainement
2026-04-27 10:43:11.000000,Marrakech,31.6295,-7.9811,20.98,68.0,1009.0,3.09,clear sky,3.0,2.78,81.05,56.3,14.07,Entrainement
2026-04-27 10:43:17.000000,Fes,34.0331,-5.0003,22.08,68.0,1010.0,4.12,clear sky,2.0,0.31,84.78,46.46,8.96,Entrainement
2026-04-27 11:43:24.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1009.0,3.09,scattered clouds,2.0,1.01,96.66,31.46,13.73,Entrainement
2026-04-27 11:43:32.000000,Rabat,34.0209,-6.8416,23.37,83.0,1009.0,2.06,scattered clouds,2.0,1.76,98.25,31.88,13.73,Entrainement
2026-04-27 11:43:39.000000,Marrakech,31.6295,-7.9811,21.98,68.0,1009.0,3.6,clear sky,3.0,1.51,88.37,56.3,13.55,Entrainement
2026-04-27 11:43:46.000000,Fes,34.0331,-5.0003,24.08,60.0,1009.0,5.14,clear sky,2.0,0.22,87.35,49.55,9.53,Entrainement
2026-04-27 12:43:52.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1008.0,4.12,scattered clouds,3.0,0.76,104.95,32.12,14.96,Entrainement
2026-04-27 12:43:59.000000,Rabat,34.0209,-6.8416,24.37,78.0,1008.0,2.57,scattered clouds,3.0,1.24,108.15,36.7,16.9,Entrainement
2026-04-27 12:44:06.000000,Marrakech,31.6295,-7.9811,24.98,61.0,1008.0,3.6,clear sky,3.0,0.77,94.5,53.66,12.97,Entrainement
2026-04-27 12:44:12.000000,Fes,34.0331,-5.0003,25.08,57.0,1008.0,4.63,clear sky,2.0,0.19,88.69,49.57,9.5,Entrainement
2026-04-27 13:44:20.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1008.0,4.12,scattered clouds,3.0,0.64,111.69,30.36,14.2,Entrainement
2026-04-27 13:44:26.000000,Rabat,34.0209,-6.8416,24.37,73.0,1008.0,2.57,scattered clouds,3.0,1.15,110.34,33.62,15.79,Entrainement
2026-04-27 13:44:34.000000,Marrakech,31.6295,-7.9811,25.02,61.0,1007.0,4.12,clear sky,3.0,0.29,100.63,51.83,11.37,Entrainement
2026-04-27 13:44:42.000000,Fes,34.0331,-5.0003,25.08,57.0,1007.0,4.63,clear sky,3.0,0.17,91.06,55.58,10.52,Entrainement
2026-04-27 14:44:49.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1008.0,4.12,scattered clouds,3.0,0.61,110.49,26.34,11.55,Entrainement
2026-04-27 14:44:57.000000,Rabat,34.0209,-6.8416,24.37,69.0,1008.0,3.09,scattered clouds,3.0,0.98,110.81,31.78,14.67,Entrainement
2026-04-27 14:45:03.000000,Marrakech,31.6295,-7.9811,27.02,50.0,1006.0,4.12,few clouds,3.0,0.21,102.96,33.57,7.65,Entrainement
2026-04-27 14:45:10.000000,Fes,34.0331,-5.0003,27.08,50.0,1006.0,4.12,broken clouds,3.0,0.15,92.95,54.52,10.47,Entrainement
2026-04-27 15:45:18.000000,Casablanca,33.5731,-7.5898,22.01,73.0,1007.0,4.12,scattered clouds,3.0,0.74,109.53,23.78,10.77,Entrainement
2026-04-27 15:45:25.000000,Rabat,34.0209,-6.8416,24.35,64.0,1007.0,3.09,overcast clouds,3.0,1.22,109.21,29.25,14.07,Entrainement
2026-04-27 15:45:32.000000,Marrakech,31.6295,-7.9811,27.98,51.0,1006.0,4.63,scattered clouds,3.0,0.24,102.74,27.57,6.75,Entrainement
2026-04-27 15:45:39.000000,Fes,34.0331,-5.0003,26.08,50.0,1005.0,3.09,thunderstorm,2.0,0.16,93.28,48.14,9.38,Entrainement
2026-04-27 18:48:07.000000,Casablanca,33.5731,-7.5898,20.78,78.0,1007.0,3.09,scattered clouds,3.0,1.2,102.91,23.62,9.77,Entrainement
2026-04-27 18:48:14.000000,Rabat,34.0209,-6.8416,24.37,57.0,1006.0,3.6,broken clouds,2.0,3.43,99.66,28.06,15.83,Entrainement
2026-04-27 18:48:23.000000,Marrakech,31.6295,-7.9811,23.98,60.0,1007.0,8.23,moderate rain,2.0,0.86,97.24,23.4,7.3,Entrainement
2026-04-27 18:48:36.000000,Fes,34.0331,-5.0003,26.08,53.0,1005.0,2.06,thunderstorm,2.0,1.38,72.3,31.61,7.89,Entrainement
