city,timestamp,temperature,humidity,pressure,wind_speed,clouds,visibility,weather_main,weather_desc,aqi,pm2_5,pm10,co,no2,o3,so2,nh3
Casablanca,2026-04-30 20:20:56,18.07,72,1019,3.09,47,10000,Clouds,scattered clouds,2,3.78,9.1,108.21,2.56,89.57,5.65,0.4
Tanger,2026-04-30 20:20:59,16.64,77,1018,2.06,0,10000,Clear,clear sky,2,2.7,5.34,109.72,3.31,88.6,4.27,0.69
Karia Ba Mohamed,2026-04-30 20:21:00,18.38,66,1017,4.31,83,10000,Clouds,broken clouds,2,2.56,4.38,102.05,1.7,67.78,0.75,0.96
Fes,2026-04-30 20:21:03,17.14,88,1018,3.6,75,10000,Clouds,broken clouds,1,2.29,3.52,100.84,1.96,53.56,0.38,1.01
Casablanca,2026-04-30 20:23:57,18.07,72,1019,3.09,47,10000,Clouds,scattered clouds,2,3.78,9.1,108.21,2.56,89.57,5.65,0.4
Tanger,2026-04-30 20:24:00,16.64,77,1018,2.06,0,10000,Clear,clear sky,2,2.7,5.34,109.72,3.31,88.6,4.27,0.69
Karia Ba Mohamed,2026-04-30 20:24:03,18.38,66,1017,4.31,83,10000,Clouds,broken clouds,2,2.56,4.38,102.05,1.7,67.78,0.75,0.96
Fes,2026-04-30 20:24:04,17.14,88,1018,3.6,75,10000,Clouds,broken clouds,1,2.29,3.52,100.84,1.96,53.56,0.38,1.01
Casablanca,2026-04-30 22:02:48,18.07,72,1019,2.57,42,10000,Clouds,scattered clouds,2,3.86,10.17,109.52,2.5,87.5,4.58,0.59
Tanger,2026-04-30 22:02:49,15.64,82,1019,1.54,15,7000,Clouds,few clouds,2,2.77,5.65,110.25,3.5,83.6,3.97,0.69
Karia Ba Mohamed,2026-04-30 22:02:51,17.2,67,1019,2.57,84,10000,Clouds,broken clouds,2,2.62,4.64,101.39,1.93,63.89,0.64,0.99
Fes,2026-04-30 22:02:52,17.14,82,1019,3.09,75,10000,Clouds,broken clouds,1,2.36,3.63,99.86,2.25,48.49,0.35,1.06
Casablanca,2026-04-30 23:06:23,17.02,77,1019,1.54,41,10000,Clouds,scattered clouds,2,3.98,10.67,110.91,2.5,85.69,3.69,0.63
Tanger,2026-04-30 23:06:24,13.64,82,1019,0.51,13,7000,Clouds,few clouds,2,2.96,6.03,110.92,3.67,79.88,3.57,0.74
Karia Ba Mohamed,2026-04-30 23:06:26,15.76,72,1019,2.44,73,10000,Clouds,broken clouds,1,2.66,4.71,101.24,2.18,56.82,0.43,0.95
Fes,2026-04-30 23:06:27,16.14,82,1019,1.03,75,10000,Clouds,broken clouds,1,2.39,3.66,99.69,2.28,44.67,0.26,0.87
Casablanca,2026-04-30 23:55:41,17.02,77,1019,1.54,35,10000,Clouds,scattered clouds,2,4.06,11.08,112.03,2.41,83.65,3.08,0.6
Tanger,2026-04-30 23:55:50,13.64,82,1019,1.03,27,7000,Clouds,scattered clouds,2,3.19,6.49,111.07,3.55,77.28,3.31,0.76
Karia Ba Mohamed,2026-04-30 23:55:59,14.37,78,1019,1.61,79,10000,Clouds,broken clouds,1,2.68,4.69,100.91,2.24,50.09,0.3,0.89
Fes,2026-04-30 23:56:05,16.14,82,1019,3.09,75,10000,Clouds,broken clouds,1,2.4,3.6,99.44,2.13,41.85,0.18,0.7
Casablanca,2026-05-01 00:56:10,17.02,77,1019,1.03,13,10000,Clouds,few clouds,2,4.14,11.39,111.73,2.23,80.84,2.63,0.44
Tanger,2026-05-01 00:56:13,13.64,82,1019,0.51,100,7000,Clouds,overcast clouds,2,3.42,6.93,110.56,3.27,74.71,2.97,0.57
Karia Ba Mohamed,2026-05-01 00:56:16,13.56,81,1019,1.39,38,10000,Clouds,scattered clouds,1,2.68,4.59,99.96,2.18,43.2,0.22,0.85
Fes,2026-05-01 00:56:41,13.14,94,1019,0.51,40,10000,Clouds,scattered clouds,1,2.39,3.48,98.93,1.87,39.78,0.13,0.63
Casablanca,2026-05-01 11:49:06,20.74,56,1019,3.09,0,10000,Clear,clear sky,3,9.55,20.44,104.79,0.74,103.23,4.71,0
Tanger,2026-05-01 11:49:09,19.64,64,1019,3.09,75,10000,Clouds,broken clouds,3,9.26,13.75,105.58,1.21,104.18,5.57,0.04
Karia Ba Mohamed,2026-05-01 11:49:11,25.24,48,1017,1.48,13,10000,Clouds,few clouds,2,3.77,5.74,99.48,0.37,87.51,0.55,0.33
Fes,2026-05-01 11:49:13,23.14,60,1017,2.57,40,10000,Clouds,scattered clouds,2,2.83,3.72,96.3,0.26,84.51,0.17,0.37
Casablanca,2026-05-01 12:49:15,20.74,56,1019,3.6,0,10000,Clear,clear sky,3,8.64,17.01,105.81,0.56,105.36,4.12,0
Tanger,2026-05-01 12:49:16,19.64,64,1019,3.09,75,10000,Clouds,broken clouds,3,8.19,12.06,105.29,0.79,107.99,4.94,0.02
Karia Ba Mohamed,2026-05-01 12:49:18,26.32,44,1017,2.13,13,10000,Clouds,few clouds,2,3.94,5.95,100.46,0.33,90.78,0.54,0.29
Fes,2026-05-01 12:49:19,24.14,56,1016,2.06,40,10000,Clouds,scattered clouds,2,3.03,4.01,97.17,0.24,88.02,0.18,0.32
Casablanca,2026-05-01 13:49:21,20.18,64,1018,3.6,0,10000,Clear,clear sky,3,7.99,14.05,104.16,0.62,109.66,5.76,0
Tanger,2026-05-01 13:49:22,20.64,60,1018,3.6,75,10000,Clouds,broken clouds,3,7.84,11.58,104.42,0.72,111.48,5.11,0
Karia Ba Mohamed,2026-05-01 13:49:24,27.33,42,1016,2.63,13,10000,Clouds,few clouds,2,3.74,5.69,99.52,0.31,92.68,0.52,0.25
Fes,2026-05-01 13:49:25,26.14,50,1016,2.06,40,10000,Clouds,scattered clouds,2,2.8,3.85,96.17,0.25,90.83,0.21,0.27
Casablanca,2026-05-01 14:49:27,20.18,64,1018,4.12,0,10000,Clear,clear sky,3,8.23,14.07,102.77,0.73,111.71,6.44,0
Tanger,2026-05-01 14:49:28,20.64,60,1018,5.14,75,10000,Clouds,broken clouds,3,7.25,10.87,103.59,0.83,111.7,4.98,0
