,importance
pm10,0.8674842245864742
o3,0.02456509032129175
lon,0.016873485069383125
no2,0.014525823442177281
lat,0.013865128424381793
humidity,0.012433735936667365
day,0.01117931409549464
hour,0.00799041824877018
temperature,0.007283757944182731
pressure,0.007218148619425401
city_Rabat,0.005438373233033479
wind_speed,0.0040017651165982476
weather_description_scattered clouds,0.0010266802590828852
city_Tanger,0.0009022267372641455
aqi,0.0008861957995551776
weather_description_clear sky,0.0008549949652510865
city_Fes,0.0007152980516193657
weather_description_overcast clouds,0.0006685628059987224
month,0.0005877640658715687
city_Casablanca,0.0005191236293188639
weather_description_few clouds,0.00041802530957202376
city_Marrakech,0.00025553360310131136
weather_description_thunderstorm,0.0001127198229224797
city_Karia Ba Mohamed,7.05247333628294e-05
weather_description_light rain,5.560108388594224e-05
weather_description_mist,3.767315009807094e-05
weather_description_moderate rain,2.7774067058719656e-05
weather_description_dust,2.0037637837392914e-06
weather_description_drizzle,3.311437308707812e-08
year,0.0
