,importance
day,0.43394293545057655
city_Marrakech,0.12528791811066214
pressure,0.10020306546189234
temperature,0.09074095366281953
hour,0.06363323194860535
humidity,0.03840911321826251
wind_speed,0.026483729845124048
month,0.025875674719260125
lat,0.017048494463745515
lon,0.016450402471318744
city_Rabat,0.016439436222037113
weather_description_clear sky,0.012246536509930494
weather_description_overcast clouds,0.008029252500551894
weather_description_scattered clouds,0.007968008371494431
city_Fes,0.004753482983378912
weather_description_few clouds,0.00451921864962121
city_Casablanca,0.0037241177352402522
city_Tanger,0.0018500007142813093
weather_description_moderate rain,0.0009593922144892775
weather_description_thunderstorm,0.0006091515581541726
city_Karia Ba Mohamed,0.0003411855089680199
weather_description_light rain,0.0002848267810142457
weather_description_mist,0.00017955407936834052
weather_description_dust,1.998839199021272e-05
weather_description_drizzle,3.284272133638499e-07
year,0.0
